"BEZEICHNUNG","THIS_YEAR"
"(at equity)",523000
"Sonstige Finanzertr<e4>ge",3788000
"Finanzaufwand",9167000
"Ertragsteueraufwand",12231000
"Ergebnis je Aktie (unverw<e4>ssert und verw<e4>ssert) in EUR",570
"Abschreibungen (M&A bereinigt)**",14537000
"Abschreibungen (M&A bedingt)",9334000
"Rechtsberatungs- und Abschlusskosten",3701000
"Beratungs- und beratungsnahe Kosten",6999000
"B<fc>rokosten",4407000
"Betriebsausstattung und Leasing",6699000
"Reise, Vertrieb und Marketing",5215000
"Personalnahe Aufwendungen",4056000
"Versicherungen, Beitr<e4>ge und Abgaben",1131000
"Sonstiges",4737000
"Kundenbeziehungen",449200000
"Selbsterstellte immaterielle Verm<f6>genswerte",143500000
"Sonstige immaterielle Verm<f6>genswerte",110200000
"2. Sachanlagen",113200000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14000000
"Latente Steueranspr<fc>che",12100000
"1. Vorr<e4>te und unfertige Leistungen",8100000
"2. Forderungen aus dem Acquiringbereich",807600000
"Steuererstattungsanspr<fc>che",17300000
"5. Verzinsliche Wertpapiere und Festgelder",506300000
"6. Zahlungsmittel und Zahlungsmittel<e4>quivalente",2829600000
"Payment Processing & Risk Management",564300000
"Acquiring & Issuing",155100000
"Call Center & Communication Services",300000
"Visa Vorzugsaktien",28400000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",133000000
"Wandelanleihen",13200000
"Festverzinsliche Wertpapiere",2400000
"Festverzinsliche Wertpapiere/Collared Floater aus dem Bankenbereich",18900000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",116200000
"Sonstige M&A bedingte Verm<f6>genswerte",83700000
"Sonstiges",6100000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",95800000
"Forderungen aus dem Kartengesch<e4>ft",37800000
"Sonstige M&A bedingte Forderungen",37000000
"Sonstige Forderungen aus Lieferungen und Leistungen",112400000
"Sonstige Forderungen",74100000
"1. Gezeichnetes Kapital",123600000
"2. Kapitalr<fc>cklage",494700000
"3. Gewinnr<fc>cklagen",1482000000
"4. Sonstige Bestandteile des Eigenkapitals",52400000
"Langfristige verzinsliche Verbindlichkeiten",1498700000
"Latente Steuerschulden",80500000
"Verbindlichkeiten aus dem Acquiringbereich",652800000
"Verbindlichkeiten aus Lieferungen und Leistungen",68700000
"Verzinsliche Verbindlichkeiten",112300000
"Sonstige R<fc>ckstellungen",19200000
"Kundeneinlagen aus dem Bankgesch<e4>ft",1582900000
"Steuerr<fc>ckstellungen",36100000
"Earn-Out Verbindlichkeiten",5900000
"Leasingverbindlichkeiten",47600000
"Variable Verg<fc>tung und Vorsorgebez<fc>ge",2900000
"Sonstige M&A bedingte Verbindlichkeiten",112200000
"Sonstige langfristige Verbindlichkeiten",6100000
"Abgegrenzte Schulden",75500000
